Feature,RF_Importance_%,GB_Importance_%,Avg_Importance_%
Max_Heart_Rate,11.635535854459544,15.248350387486663,13.441943120973104
Age,10.098891150750541,8.313215145691293,9.206053148220917
Major_Vessels,8.644817089855588,9.346876636612777,8.995846863234181
Smoking_Status,8.215078968711792,8.632282382395989,8.42368067555389
Exercise_Level,6.009878283529103,8.8386844889843,7.424281386256702
Alcohol_Consumption,5.989883668152647,6.041891046200906,6.015887357176776
Chest_Pain_Type,5.094783981734387,6.460880857730521,5.777832419732453
Age_Sex_Interact,6.509932986823712,4.1776173429307555,5.343775164877234
BP_Chol_Score,4.758012275674934,5.596056220007925,5.17703424784143
ST_Depression,5.111995552724532,4.32247265277022,4.717234102747376
Exercise_Induced_Angina,4.5165110169560885,4.083708872244434,4.300109944600261
Trestbps,4.180189409099546,3.6634906884364717,3.9218400487680087
Cholesterol,3.898682052660233,3.1544361802867926,3.526559116473513
HR_Reserve,4.255195873626302,2.2732877735875117,3.2642418236069064
ST_Slope_Risk,3.9597116477818766,2.481255266809782,3.2204834572958294
BMI_Category,2.5210463874303173,3.44343724228786,2.982241814859089
Thalassemia,1.6752626246794196,1.7906512638765213,1.7329569442779704
Slope,1.1528854655413827,0.9517367679749341,1.0523111167581585
Resting_ECG,0.9312188153939613,0.8780406661107129,0.9046297407523372
Sex,0.6012458377885014,0.03156398021523169,0.3164049090018665
Fasting_Blood_Sugar,0.23924105662558787,0.2700641373584225,0.25465259699200515
